,Model,Level,EC,F1 score
320,BLASTp,1,1.14.99.46,0.9655172413793104
321,BLASTp,1,1.14.99.50,1.0
322,BLASTp,1,1.14.99.60,0.9894736842105264
323,BLASTp,1,1.14.99.66,1.0
324,BLASTp,1,1.15.1.1,0.9574468085106383
325,BLASTp,1,1.15.1.2,1.0
326,BLASTp,1,1.16.1.1,0.9777777777777777
327,BLASTp,1,1.16.1.9,0.8750000000000001
328,BLASTp,1,1.16.3.1,0.9620253164556962
329,BLASTp,1,1.16.3.2,0.962962962962963
330,BLASTp,1,1.17.1.4,0.47619047619047616
331,BLASTp,1,1.17.1.5,0.5925925925925927
332,BLASTp,1,1.17.1.8,1.0
333,BLASTp,1,1.17.1.9,0.888888888888889
334,BLASTp,1,1.17.2.1,0.7096774193548386
335,BLASTp,1,1.17.4.1,1.0
336,BLASTp,1,1.17.4.2,0.8205128205128205
337,BLASTp,1,1.17.4.4,0.9655172413793104
338,BLASTp,1,1.17.5.2,0.7878787878787877
339,BLASTp,1,1.17.7.1,0.923076923076923
340,BLASTp,1,1.17.7.3,0.9666666666666666
341,BLASTp,1,1.17.7.4,1.0
342,BLASTp,1,1.17.99.6,1.0
343,BLASTp,1,1.17.99.9,1.0
344,BLASTp,1,1.18.1.1,0.8333333333333333
345,BLASTp,1,1.18.1.2,0.9636363636363636
346,BLASTp,1,1.18.1.3,0.6451612903225806
347,BLASTp,1,1.18.1.5,0.7741935483870969
348,BLASTp,1,1.18.1.6,1.0
349,BLASTp,1,1.18.6.1,0.975609756097561
350,BLASTp,1,1.2.1.10,0.9830508474576272
351,BLASTp,1,1.2.1.103,0.9655172413793104
352,BLASTp,1,1.2.1.11,1.0
353,BLASTp,1,1.2.1.12,0.9820359281437125
354,BLASTp,1,1.2.1.16,0.41666666666666663
355,BLASTp,1,1.2.1.18,0.962962962962963
356,BLASTp,1,1.2.1.19,0.7368421052631579
357,BLASTp,1,1.2.1.22,0.5333333333333333
358,BLASTp,1,1.2.1.24,0.8148148148148148
359,BLASTp,1,1.2.1.26,0.5384615384615384
360,BLASTp,1,1.2.1.27,0.888888888888889
361,BLASTp,1,1.2.1.28,0.7407407407407408
362,BLASTp,1,1.2.1.3,0.8470588235294118
363,BLASTp,1,1.2.1.32,0.6451612903225806
364,BLASTp,1,1.2.1.38,0.9962264150943396
365,BLASTp,1,1.2.1.39,0.8387096774193549
366,BLASTp,1,1.2.1.4,0.5714285714285714
367,BLASTp,1,1.2.1.41,1.0
368,BLASTp,1,1.2.1.46,0.8484848484848484
369,BLASTp,1,1.2.1.5,0.8750000000000001
370,BLASTp,1,1.2.1.50,1.0
371,BLASTp,1,1.2.1.58,0.888888888888889
372,BLASTp,1,1.2.1.59,0.9767441860465117
373,BLASTp,1,1.2.1.62,0.6363636363636364
374,BLASTp,1,1.2.1.70,1.0
375,BLASTp,1,1.2.1.71,1.0
376,BLASTp,1,1.2.1.72,1.0
