,Model,Level,EC,F1 score
372,D-SPACE EC,1,1.1.1,0.9097212591873527
373,D-SPACE EC,1,1.1.2,0.6666666666666666
374,D-SPACE EC,1,1.1.3,0.6928406466512702
375,D-SPACE EC,1,1.1.5,0.7664233576642335
376,D-SPACE EC,1,1.1.9,0.6111111111111112
377,D-SPACE EC,1,1.1.98,0.7692307692307692
378,D-SPACE EC,1,1.1.99,0.7371007371007371
379,D-SPACE EC,1,1.10.3,0.8739495798319327
380,D-SPACE EC,1,1.11.1,0.831168831168831
381,D-SPACE EC,1,1.11.2,0.6947368421052631
382,D-SPACE EC,1,1.12.1,0.48979591836734687
383,D-SPACE EC,1,1.12.2,0.56
384,D-SPACE EC,1,1.12.5,0.8000000000000002
385,D-SPACE EC,1,1.12.7,0.5217391304347827
386,D-SPACE EC,1,1.12.98,0.6250000000000001
387,D-SPACE EC,1,1.12.99,0.7142857142857143
388,D-SPACE EC,1,1.13.11,0.825817860300619
389,D-SPACE EC,1,1.13.12,0.6701570680628273
390,D-SPACE EC,1,1.13.99,0.8571428571428571
391,D-SPACE EC,1,1.14.11,0.7395736793327155
392,D-SPACE EC,1,1.14.12,0.8104956268221575
393,D-SPACE EC,1,1.14.13,0.8217522658610272
394,D-SPACE EC,1,1.14.14,0.7344064386317908
395,D-SPACE EC,1,1.14.15,0.7897196261682242
396,D-SPACE EC,1,1.14.16,0.8739495798319329
397,D-SPACE EC,1,1.14.17,0.7047619047619047
398,D-SPACE EC,1,1.14.18,0.6241134751773049
399,D-SPACE EC,1,1.14.19,0.8415841584158417
400,D-SPACE EC,1,1.14.20,0.4848484848484849
401,D-SPACE EC,1,1.14.99,0.7884057971014493
402,D-SPACE EC,1,1.15.1,0.7259259259259259
403,D-SPACE EC,1,1.16.1,0.7522935779816513
404,D-SPACE EC,1,1.16.3,0.8490566037735849
405,D-SPACE EC,1,1.17.1,0.736318407960199
406,D-SPACE EC,1,1.17.2,0.6428571428571429
407,D-SPACE EC,1,1.17.4,0.8076923076923077
408,D-SPACE EC,1,1.17.5,0.631578947368421
409,D-SPACE EC,1,1.17.7,0.975
410,D-SPACE EC,1,1.17.99,0.9166666666666666
411,D-SPACE EC,1,1.18.1,0.842911877394636
412,D-SPACE EC,1,1.18.6,0.7352941176470588
413,D-SPACE EC,1,1.2.1,0.9345955249569708
414,D-SPACE EC,1,1.2.3,0.7901234567901234
415,D-SPACE EC,1,1.2.4,0.8378378378378378
416,D-SPACE EC,1,1.2.5,0.5945945945945945
417,D-SPACE EC,1,1.2.7,0.8049535603715171
418,D-SPACE EC,1,1.2.98,0.7317073170731707
419,D-SPACE EC,1,1.2.99,0.6444444444444445
420,D-SPACE EC,1,1.20.4,0.8807339449541285
421,D-SPACE EC,1,1.20.9,0.7096774193548386
422,D-SPACE EC,1,1.21.1,0.8125
423,D-SPACE EC,1,1.21.4,0.8666666666666666
424,D-SPACE EC,1,1.21.98,0.8672566371681416
425,D-SPACE EC,1,1.3.1,0.8155002891844998
426,D-SPACE EC,1,1.3.3,0.8262295081967211
427,D-SPACE EC,1,1.3.5,0.8664850136239781
428,D-SPACE EC,1,1.3.7,0.9247311827956989
429,D-SPACE EC,1,1.3.8,0.7634069400630915
430,D-SPACE EC,1,1.3.98,0.8088235294117647
431,D-SPACE EC,1,1.3.99,0.6849999999999999
432,D-SPACE EC,1,1.4.1,0.8657844990548204
433,D-SPACE EC,1,1.4.3,0.796
434,D-SPACE EC,1,1.4.4,0.9588014981273408
435,D-SPACE EC,1,1.4.7,0.24
436,D-SPACE EC,1,1.4.9,0.846153846153846
437,D-SPACE EC,1,1.4.99,0.8448275862068966
438,D-SPACE EC,1,1.5.1,0.8411934552454283
439,D-SPACE EC,1,1.5.3,0.6242038216560509
440,D-SPACE EC,1,1.5.5,0.6410256410256411
441,D-SPACE EC,1,1.5.8,0.7304347826086957
442,D-SPACE EC,1,1.5.98,0.8571428571428572
443,D-SPACE EC,1,1.5.99,0.6829268292682927
444,D-SPACE EC,1,1.6.1,0.896551724137931
445,D-SPACE EC,1,1.6.2,0.8990825688073395
446,D-SPACE EC,1,1.6.3,0.7816091954022987
447,D-SPACE EC,1,1.6.5,0.8605577689243028
448,D-SPACE EC,1,1.6.99,0.6451612903225806
449,D-SPACE EC,1,1.7.1,0.845
450,D-SPACE EC,1,1.7.2,0.7757575757575758
451,D-SPACE EC,1,1.7.3,0.7586206896551724
452,D-SPACE EC,1,1.7.5,0.7499999999999999
453,D-SPACE EC,1,1.7.7,0.7692307692307693
454,D-SPACE EC,1,1.7.99,0.9285714285714286
455,D-SPACE EC,1,1.8.1,0.8356164383561643
456,D-SPACE EC,1,1.8.2,0.7999999999999999
457,D-SPACE EC,1,1.8.3,0.6440677966101694
458,D-SPACE EC,1,1.8.4,0.8637532133676094
459,D-SPACE EC,1,1.8.5,0.6909090909090908
460,D-SPACE EC,1,1.8.7,0.7837837837837839
461,D-SPACE EC,1,1.8.98,0.7727272727272727
462,D-SPACE EC,1,1.8.99,0.8409090909090908
463,D-SPACE EC,1,1.9.6,1.0
464,D-SPACE EC,1,1.97.1,0.8849557522123894
465,DeepEC CNN3,1,1.1.1,0.865099850563782
466,DeepEC CNN3,1,1.1.2,0.6171428571428572
467,DeepEC CNN3,1,1.1.3,0.6929460580912862
468,DeepEC CNN3,1,1.1.5,0.6511627906976744
469,DeepEC CNN3,1,1.1.9,0.6486486486486486
470,DeepEC CNN3,1,1.1.98,0.6407766990291263
471,DeepEC CNN3,1,1.1.99,0.6022471910112359
472,DeepEC CNN3,1,1.10.3,0.8484848484848484
473,DeepEC CNN3,1,1.11.1,0.7892813641900122
474,DeepEC CNN3,1,1.11.2,0.6666666666666666
475,DeepEC CNN3,1,1.12.1,0.5625
476,DeepEC CNN3,1,1.12.2,0.6153846153846153
477,DeepEC CNN3,1,1.12.5,0.6857142857142857
478,DeepEC CNN3,1,1.12.7,0.4848484848484848
479,DeepEC CNN3,1,1.12.98,0.46
480,DeepEC CNN3,1,1.12.99,0.3181818181818182
481,DeepEC CNN3,1,1.13.11,0.7788161993769471
482,DeepEC CNN3,1,1.13.12,0.5649717514124294
483,DeepEC CNN3,1,1.13.99,0.787878787878788
484,DeepEC CNN3,1,1.14.11,0.7676387582314204
485,DeepEC CNN3,1,1.14.12,0.6985074626865672
486,DeepEC CNN3,1,1.14.13,0.7547169811320755
487,DeepEC CNN3,1,1.14.14,0.6147332768839966
488,DeepEC CNN3,1,1.14.15,0.6956521739130436
489,DeepEC CNN3,1,1.14.16,0.90625
490,DeepEC CNN3,1,1.14.17,0.7563025210084034
491,DeepEC CNN3,1,1.14.18,0.5655172413793104
492,DeepEC CNN3,1,1.14.19,0.7673267326732675
493,DeepEC CNN3,1,1.14.20,0.30303030303030304
494,DeepEC CNN3,1,1.14.99,0.7348066298342542
495,DeepEC CNN3,1,1.15.1,0.7818181818181817
496,DeepEC CNN3,1,1.16.1,0.5714285714285714
497,DeepEC CNN3,1,1.16.3,0.6956521739130435
498,DeepEC CNN3,1,1.17.1,0.6338797814207651
499,DeepEC CNN3,1,1.17.2,0.43478260869565216
500,DeepEC CNN3,1,1.17.4,0.5
501,DeepEC CNN3,1,1.17.5,0.4285714285714286
502,DeepEC CNN3,1,1.17.7,0.9554140127388536
503,DeepEC CNN3,1,1.17.99,0.8333333333333333
504,DeepEC CNN3,1,1.18.1,0.7544483985765125
505,DeepEC CNN3,1,1.18.6,0.742857142857143
