method,threshold,EC number,Number of positives,F1 score,Difference of F1 score
DNN ESM2 3B,1e-21,1.3.1.85,14,0.8,0.06666666666666665
DNN ESM2 3B,1e-21,1.3.1.95,14,0.8,0.07272727272727275
DNN ESM2 3B,1e-21,1.3.3.15,19,0.9,0.12222222222222223
DNN ESM2 3B,1e-21,1.3.3.4,22,0.8780487804878049,0.051961823966065745
DNN ESM2 3B,1e-21,1.3.5.1,56,0.9245283018867924,0.01190694266349146
DNN ESM2 3B,1e-21,1.3.5.5,13,0.8799999999999999,0.03384615384615375
DNN ESM2 3B,1e-21,1.3.7.11,14,0.8666666666666666,0.00952380952380949
DNN ESM2 3B,1e-21,1.3.8.3,17,0.717948717948718,0.10683760683760668
DNN ESM2 3B,1e-21,1.3.8.4,21,0.8205128205128205,0.0637560637560638
DNN ESM2 3B,1e-21,1.3.99.16,23,0.8181818181818182,0.0626262626262627
DNN ESM2 3B,1e-21,1.3.99.32,21,0.8095238095238095,0.07781649245063893
DNN ESM2 3B,1e-21,1.3.99.33,17,0.9444444444444444,0.049707602339181256
DNN ESM2 3B,1e-21,1.3.99.5,23,0.8837209302325583,0.054452637549631366
DNN ESM2 3B,1e-21,1.4.1.1,26,1.0,0.018867924528301883
DNN ESM2 3B,1e-21,1.4.1.13,25,0.6222222222222222,0.07676767676767682
DNN ESM2 3B,1e-21,1.4.1.14,16,0.8648648648648648,0.054054054054053946
DNN ESM2 3B,1e-21,1.4.1.3,22,0.9,0.050000000000000044
DNN ESM2 3B,1e-21,1.4.3.16,25,1.0,0.020408163265306145
DNN ESM2 3B,1e-21,1.4.3.21,20,0.975609756097561,0.028241335044929317
DNN ESM2 3B,1e-21,1.4.3.3,14,0.962962962962963,0.03988603988604
DNN ESM2 3B,1e-21,1.4.7.1,21,0.8,0.009302325581395432
DNN ESM2 3B,1e-21,1.4.99.5,14,0.7096774193548386,0.020022246941045596
DNN ESM2 3B,1e-21,1.4.99.6,14,0.6666666666666666,0.026666666666666616
DNN ESM2 3B,1e-21,1.5.1.20,39,0.8831168831168831,0.0031168831168831845
DNN ESM2 3B,1e-21,1.5.1.25,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.5.1.36,14,0.6153846153846153,0.0699300699300699
DNN ESM2 3B,1e-21,1.5.1.42,18,0.7878787878787877,0.10366826156299824
DNN ESM2 3B,1e-21,1.5.1.43,14,0.9333333333333333,0.06666666666666676
DNN ESM2 3B,1e-21,1.5.3.1,23,0.9565217391304348,0.0765217391304347
DNN ESM2 3B,1e-21,1.5.3.19,20,0.29629629629629634,0.026026026026026106
DNN ESM2 3B,1e-21,1.5.3.6,18,0.9714285714285714,0.18354978354978368
DNN ESM2 3B,1e-21,1.5.8.3,24,0.5454545454545454,0.10643015521064292
DNN ESM2 3B,1e-21,1.5.8.4,29,0.746268656716418,0.058768656716417955
DNN ESM2 3B,1e-21,1.5.98.2,18,1.0,0.05555555555555558
DNN ESM2 3B,1e-21,1.6.1.1,16,0.9333333333333333,0.050980392156862786
DNN ESM2 3B,1e-21,1.6.2.2,38,1.0,0.03896103896103886
DNN ESM2 3B,1e-21,1.6.5.4,14,0.962962962962963,0.03439153439153442
DNN ESM2 3B,1e-21,1.6.5.9,15,0.9333333333333333,0.024242424242424288
DNN ESM2 3B,1e-21,1.6.99.1,16,0.9090909090909091,0.03409090909090906
DNN ESM2 3B,1e-21,1.7.1.13,54,1.0,0.00917431192660556
DNN ESM2 3B,1e-21,1.7.1.15,14,0.5517241379310344,0.018390804597701038
DNN ESM2 3B,1e-21,1.7.1.3,14,0.962962962962963,0.03439153439153442
DNN ESM2 3B,1e-21,1.7.1.4,14,0.5384615384615384,0.16809116809116803
DNN ESM2 3B,1e-21,1.7.1.6,15,0.7878787878787877,0.03787878787878762
DNN ESM2 3B,1e-21,1.7.7.1,19,0.9444444444444444,0.11517615176151752
DNN ESM2 3B,1e-21,1.8.1.19,14,0.7142857142857143,0.04761904761904767
DNN ESM2 3B,1e-21,1.8.1.8,22,0.9545454545454546,0.02121212121212135
DNN ESM2 3B,1e-21,1.8.1.9,48,0.8936170212765957,0.009406494960806255
DNN ESM2 3B,1e-21,1.8.2.3,25,0.8979591836734694,0.06462585034013613
DNN ESM2 3B,1e-21,1.8.3.2,22,1.0,0.09999999999999998
DNN ESM2 3B,1e-21,1.8.4.12,67,1.0,0.0454545454545453
DNN ESM2 3B,1e-21,1.8.4.2,14,0.962962962962963,0.07407407407407407
DNN ESM2 3B,1e-21,1.8.5.2,23,0.9787234042553191,0.04849084611578425
DNN ESM2 3B,1e-21,2.1.1.104,15,0.8148148148148148,0.04558404558404561
DNN ESM2 3B,1e-21,2.1.1.107,15,0.967741935483871,0.17826825127334467
DNN ESM2 3B,1e-21,2.1.1.11,15,0.9655172413793104,0.03218390804597704
DNN ESM2 3B,1e-21,2.1.1.131,15,0.8275862068965518,0.015086206896551824
DNN ESM2 3B,1e-21,2.1.1.132,15,0.896551724137931,0.08173690932311628
DNN ESM2 3B,1e-21,2.1.1.133,15,0.9333333333333333,0.06666666666666665
DNN ESM2 3B,1e-21,2.1.1.157,15,0.7200000000000001,0.053333333333333566
DNN ESM2 3B,1e-21,2.1.1.164,15,0.64,0.1784615384615385
DNN ESM2 3B,1e-21,2.1.1.166,30,1.0,0.016393442622950838
DNN ESM2 3B,1e-21,2.1.1.178,15,1.0,0.032258064516129004
DNN ESM2 3B,1e-21,2.1.1.184,15,0.8125,0.024621212121212266
DNN ESM2 3B,1e-21,2.1.1.185,15,0.9032258064516129,0.05474095796676437
DNN ESM2 3B,1e-21,2.1.1.187,15,0.8571428571428571,0.07142857142857151
DNN ESM2 3B,1e-21,2.1.1.190,15,1.0,0.0625
DNN ESM2 3B,1e-21,2.1.1.191,15,0.9655172413793104,0.09885057471264369
DNN ESM2 3B,1e-21,2.1.1.193,15,1.0,0.032258064516129004
DNN ESM2 3B,1e-21,2.1.1.196,15,0.9655172413793104,0.06229143492769751
DNN ESM2 3B,1e-21,2.1.1.197,15,1.0,0.09090909090909094
DNN ESM2 3B,1e-21,2.1.1.201,16,0.967741935483871,0.030241935483870996
DNN ESM2 3B,1e-21,2.1.1.204,15,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,2.1.1.208,15,0.9333333333333333,0.0367816091954023
DNN ESM2 3B,1e-21,2.1.1.213,15,1.0,0.10344827586206895
DNN ESM2 3B,1e-21,2.1.1.220,15,0.967741935483871,0.03440860215053765
DNN ESM2 3B,1e-21,2.1.1.221,15,0.9655172413793104,0.03218390804597704
DNN ESM2 3B,1e-21,2.1.1.222,17,1.0,0.02857142857142858
DNN ESM2 3B,1e-21,2.1.1.228,61,0.9833333333333333,0.016120218579234957
DNN ESM2 3B,1e-21,2.1.1.282,15,0.9655172413793104,0.08316430020283982
